recept,ingrediënten,url
"Gegrilde boterham met biefstuk, gebakken champignons en uienringen","['2 boterhammen*', '1 biefstuk', '125 gr. champignons', '1 ui', '1 lenteuitje', 'roomboter', 'peper en zout']",https://kookidee.nl/recepten/lunchgerecht/gegrilde-boterham-met-biefstuk-gebakken-champignons-en-uienringen/
Kaasfondue met Nederlandse kaas en blond bier,"['300 gr. extra belegen boerenkaas, geraspt', '300 gr. jonge boerenkaas, geraspt', '1 flesje blond bier, bv. Grimbergen (33 cl)', '2 teentjes knoflook', 'nootmuskaat', 'peper', 'citroensap', 'maizena']",https://kookidee.nl/recepten/hoofdgerecht/kaasfondue-met-nederlandse-kaas-en-blond-bier/
Knoflookboter in 5 minuten,"['100 gr. roomboter', '3 tenen knoflook', 'handje peterselie', 'scheutje olijfolie', 'grof zeezout']",https://kookidee.nl/recepten/basics/knoflookboter-in-5-minuten/
Bruine bonensoep met rookworst,"['1 l. groentebouillon', '1 blik bruine bonen, 800 gr.', '400 gr. tomatenblokjes, bv. Heinz', '1 winterpeen', '1 prei', '1 bleekselderij', '1 rode paprika', '2 uien', '2 tenen knoflook', '1 rookworst', 'handje peterselie', 'kerrie', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/soep/bruine-bonensoep-met-rookworst/
"Spaghetti met tomatensaus, gehaktballetjes, Parmezaanse kaas en pecorino","['250 gr. spaghetti', '800 gr. grpelde tomaten, uit blik', '500 gr. rundergehakt', '1 ei', '2 uien', '3 tenen knoflook', '500 gr. champignons', '75 gr. rucola', 'paneermeel', 'Italiaanse kruiden', 'peper en zout', 'snufje suiker', 'olijfolie', 'Parmezaanse kaas', 'pecorino', 'verse basilicum']",https://kookidee.nl/recepten/hoofdgerecht/spaghetti-met-tomatensaus-gehaktballetjes-parmezaanse-kaas-en-pecorino/
"Ovenschotel met rijst, groenten, champignons en kaas","['200 gr. rijst*', '125 gr. kastanjechampignons', '1 courgette', '1 prei', '1 rode paprika', '1 ui', '1 rode ui', '3 tenen knoflook', '150 gr. kaas', 'Italiaanse kruiden', 'peper en zout', 'olijfolie', 'boter om in te vetten']",https://kookidee.nl/recepten/hoofdgerecht/ovenschotel-met-rijst-groenten-champignons-en-kaas/
"Linzensoep met kokosmelk, courgette, winterpeen en bleekselderij","['2 l. groentebouillon', '450 gr. rode linzen', '200 ml. kokosmelk', '2 pakken tomatenblokjes á 390 gr.', '1 courgette', '1 winterpeen', '1 bleekselderij', '2 uien', '2 tenen knoflook', 'peper en zout', '1 tl. kaneel', '1 tl. kurkuma', 'olijfolie', 'verse peterselie']",https://kookidee.nl/recepten/soep/linzensoep-met-kokosmelk-courgette-winterpeen-en-bleekselderij/
"Traybake met aardappels, courgette, paprika, paddenstoelen, chorizo en veldsla","['600 gr. aardappels', '1 courgette', '1 gele paprika', '1 rode ui', '600 gr. paddenstoelen*', '5 tenen knoflook', '1 chorizo', '100 gr. veldsla', 'peper', 'oregano', 'grof zeezout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/traybake-met-aardappels-courgette-paprika-paddenstoelen-chorizo-en-veldsla/
"Oosterse groentesoep met paksoi, Chinese kool, shiitakes en taugé","['2,5 l. groentebouillon', '2 uien', '6 tenen knoflook', '1 paksoi', '1 Chinese kool', '1 prei', '1 bleekselderij', '6 lenteuitjes', '1 winterpeen', '200 gr. shiitakes', '125 gr. taugé', 'stukje verse gember', '1 rode peper', '150 gr. Udon (of andere) noedels', '3 el. gembersiroop', '3 el. sojasaus', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/soep/oosterse-groentesoep-met-paksoi-chinese-kool-shiitakes-en-tauge/
"Pikante toast met gegrilde tartaar, lenteui, rode peper en gesmolten kaas","['4 boterhammen, bv. wit casino', '2 rundertartaartjes', '1 rode peper', '2 lenteuitjes', 'wat geraspte kaas', 'peper en zout']",https://kookidee.nl/recepten/lunchgerecht/pikante-toast-met-gegrilde-tartaar-lenteui-rode-peper-en-gesmolten-kaas/
"Pannenkoek met spek, rode ui, champignons, taugé en kaas","['100 gr. bloem', '225 ml. melk', 'snufje zout', '1 ei', '100 gr. taugé', '100 gr. ontbijtspek', '250 gr. champignons, gesneden', '1 rode ui', '100 gr. kaas, geraspt', 'boter om te bakken']",https://kookidee.nl/recepten/hoofdgerecht/pannenkoek-met-spek-rode-ui-champignons-tauge-en-kaas/
"Quiche met spinazie, zalm, cashewnoten en brie","['5 plakjes deeg voor hartige taart', '400 gr. bladspinazie', '100 gr. zalmsnippers', '100 gr. cashewnoten', '150 gr. volle yoghurt*', '5 eieren', '1 el. paneermeel', 'ca. 100 gr. brie', 'olijfolie', 'peper en zout', 'boter om in te vetten']",https://kookidee.nl/recepten/hoofdgerecht/quiche-met-spinazie-zalm-cashewnoten-en-brie/
"Snelle salade van ijsbergsla, tomaatjes en walnoot met honing- en balsamicodressing","['200 gr. ijsbergsla', '250 gr. cherrytomaten', '1 komkommer', '1 appel', '3 sjalotjes', '100 gr. walnoten, ongezouten', '4 el. olijfolie', '1 el. azijn', '1 el. balsamicoazijn', '1 el. vloeibare honing', '1 tl. mosterd', 'peper en zout']",https://kookidee.nl/recepten/salade/snelle-salade-van-ijsbergsla-tomaatjes-en-walnoot-met-honing-en-balsamicodressing/
"Pastasalade met appel, tonijn, pijnboompitjes en honing-mosterd dressing","['200 gr. pasta, bv. farfalle of fusilli', '1 komkommer', '1 rode paprika', '1 gele paprika', '1 appel', '\xa02 eieren, hardgekookt', '35 gr. pijnboompitjes', '1 blikje tonijn, op water', 'Italiaanse kruiden', 'peper en zout', 'verse peterselie', 'olijfolie', '50 ml. olijfolie', '2 el. mayonaise', '2 el. yoghurt', '1 tl. mosterd', '1 tl. tomatenketchup', '1/2 el. azijn', 'handje peterselie, fijngehakt', 'vloeibare honing']",https://kookidee.nl/recepten/hoofdgerecht/pastasalade-met-appel-tonijn-pijnboompitjes-en-honing-mosterd-dressing/
Chili mac ‘n cheese met zure room,"['300 gr. rundergehakt', '200 gr. macaroni', '1/2 l. runderbouillon', '2 uien', '2 tenen knoflook', '250 gr. bonenmix* (uitgelekt)', '400 gr. tomatenblokjes, uit pak', '150 gr. cheddar, geraspt', '125 gr. zure room', 'chilipoeder', 'djintan (gemalen komijnzaad)', 'peper en zout', 'verse peterselie', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/chili-mac-n-cheese-met-zure-room/
"Hamburger salade met ovenkrieltjes, uienringen, komkommer en tomaat","['4 hamburgers', '200 gr. slamelange', '1 komkommer', '4 trostomaten', '2 uien', '100 gr. bietreepjes', '100 gr. wortelreepjes', '4 plakjes cheddar', 'yellow mustard', 'tomatenketchup', 'bbq-saus', 'peper en zout', 'boter om in te bakken', 'olijfolie', '500 gr. krieltjes', '2 el. olijfolie', 'grof zeezout']",https://kookidee.nl/recepten/hoofdgerecht/hamburger-salade-met-ovenkrieltjes-uienringen-komkommer-en-tomaat/
Andijviestamppot en gehaktballetjes met oude kaas,"['800 gr. aardappels, kruimig', '800 gr. andijvie, gesneden', '300 gr. rundergehakt', '200 gr. oude kaas, geraspt', '1 ei', 'scheutje melk', 'paneermeel', '1 el. tomatenketchup', 'peper en zout', 'Italiaanse kruiden', 'klontje roomboter + boter om in te bakken']",https://kookidee.nl/recepten/hoofdgerecht/andijviestamppot-en-gehaktballetjes-met-oude-kaas/
"Paksoi, shiitakes, paprika, kippendij en basmatirijst met pindasaus","['250 gr. basmatirijst', '300 gr. kippendijfilet', '1 paksoi', '1 rode paprika', '200 gr. shiitakes', '1 grote ui', '2 tenen knoflook', '6 lenteuitjes', 'pindasaus, kant en klaar of zelfgemaakt', 'gebakken uitjes', 'wokolie', 'boter om te bakken', '2 tl. trassie', 'sojasaus', 'vijfkruidenpoeder', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/paksoi-shiitakes-paprika-kippendij-en-basmatirijst-met-pindasaus/
"Broodje BBQ hotdog met zoetzure rauwkost, cheddar en gebakken uitjes","['4 witte broodjes', '4 bbq-worstjes', 'cheddar, geraspt', 'zoetzure rauwkost', 'gemengde sla', 'gebakken uitjes', 'yellow mustard', 'tomatenketchup']",https://kookidee.nl/recepten/hoofdgerecht/broodje-bbq-hotdog-met-zoetzure-rauwkost-cheddar-en-gebakken-uitjes/
"Rijst met paksoi, shiitake, oesterzwam en gebakken ei","['300 gr. rijst, bv. zilvervliesrijst', '4 eieren', '1 paksoi', '100 gr. shiitakes', '100 gr. oesterzwammen', '1 rode ui', '1 rode paprika', '1 gele paprika', '3 el. oestersaus', '2 el. gembersiroop', 'sojasaus', 'peper en zout', 'gebakken uitjes', 'wokolie', 'boter of olie om te bakken']",https://kookidee.nl/recepten/hoofdgerecht/rijst-met-paksoi-shiitake-oesterzwam-en-gebakken-ei/
"Rijstsalade met mango, avocado, komkommer, tomaatjes, makreel en ei","['200 gr. zilvervliesrijst', '4 eieren', '300 gr. mangoblokjes', '250 gr. cherrytomaatjes', ""2 avocado's"", '1 komkommer', '6 lenteuitjes', '200 gr. makreelfilet, in zonnebloemolie', '150 gr. slamelange', '100 gr. walnoten', '4 el. mayonaise', '2 el. olijfolie', '1 tl. mosterd', 'scheutje citroensap', 'verse bieslook', 'peper']",https://kookidee.nl/recepten/hoofdgerecht/rijstsalade-met-mango-avocado-komkommer-tomaatjes-makreel-en-ei/
"Enchilada’s met kip, salade, cheddar en zure room","['8 wraps', 'ca. 400 gr. kippendijfilet', '1 zakje Santa Maria enchilada seasoning mix*', '500 gr. gezeefde tomaten', '50 ml. water', '1 rode paprika', '1 groene paprika', '1 ui', '2 tenen knoflook', '2 lenteuitjes', 'olijfolie', 'boter om in te vetten', '150 gr. cheddar, geraspt', '150 gr. belegen kaas, geraspt', '125 gr. zure room', '200 gr. slamelange', '250 gr. cherrytomaatjes', '1/2 komkommer', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/enchiladas-met-kip-salade-cheddar-en-zure-room/
"Omelet met champignons, paprika, lenteui, gedroogde ham en belegen kaas","['12 eieren*', '250 gr. champignons', '1 rode paprika', '6 lenteuitjes', '150 gr. belegen kaas, geraspt', '80 gr. prosciutto crudo', 'scheutje melk', 'Italiaanse kruiden', 'peper en zout', 'boter om te bakken']",https://kookidee.nl/recepten/hoofdgerecht/omelet-met-champignons-paprika-lenteui-gedroogde-ham-en-belegen-kaas/
"Broodje hotdog met mesclun, bacon, oude kaas en smokey hot cocktail sauce","['4 witte pistoletjes, afbak', '4 varkenschipolata worstjes', '75 gr. mesclun (of een andere salademelange)', '2 trostomaten', '4 plakken oude kaas', '4 plakken gegrilde bacon', '1 ui', 'boter om te bakken', 'smokey hot cocktail sauce']",https://kookidee.nl/recepten/hoofdgerecht/broodje-hotdog-met-mesclun-bacon-oude-kaas-en-smokey-hot-cocktail-sauce/
"Quiche met prei, champignons, gedroogde ham en kaas","['5 plakjes deeg voor hartige taart', '2 preien', '250 gr. champignons', '1 ui', '5 eieren', '200 gr. crème fraiche', 'paar plakjes prosciutto crudo', 'paneermeel', 'olijfolie', 'peper en zout', 'boter om in te vetten']",https://kookidee.nl/recepten/hoofdgerecht/quiche-met-prei-champignons-gedroogde-ham-en-kaas/
Appelcake met kaneel,"['200 gr. bloem', '200 gr. roomboter', '200 gr. fijne kristalsuiker', '16 gr. vanillesuiker', '2 tl. bakpoeder', '2 el. melk', '1/4 tl. zout', '4 eieren', '1 appel', '3 tl. kristalsuiker', '1 tl. kaneel']",https://kookidee.nl/recepten/gebak/appelcake-met-kaneel/
Kip Parmezaan nuggets met gnocchi en gegrilde courgette,"['500 gr. gnocchi', '250 gr. champignons', '5 tenen knoflook', 'Parmezaanse kaas', 'olijfolie', 'peper en zout', '300 gr. kippendijfilet', '1 ei', 'panko, ca. 50 gr.', '1 el. bloem', 'Parmezaanse kaas, ca. 50 gr.', 'rozemarijn, gedroogd', 'peper en zout', '2 courgettes', 'bloem', 'Parmezaanse kaas', 'rozemarijn, gedroogd', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/kip-parmezaan-nuggets-met-gnocchi-en-gegrilde-courgette/
"Zoetzuur varkensvlees met wokgroenten, paprika, ananas en rijst","['300 gr. rijst, bv. basmati', 'ca. 250 gr. varkensfiletlapjes', '400 gr. wokgroenten*', '1 rode paprika', '1 gele paprika', '1 rode ui', '1 klein blikje ananasstukjes', '1/2 flesje zoetzure woksaus', 'sojasaus', 'vijfkruidenpoeder', 'wokolie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/zoetzuur-varkensvlees-met-wokgroenten-paprika-ananas-en-rijst/
Bruschetta sticks met Italiaanse kruiden,"['4 sneetjes brood, al dan niet met korst', '1 teentje knoflook', 'grof zeezout', 'olijfolie', 'Italiaanse kruiden']",https://kookidee.nl/recepten/bijgerecht/bruschetta-sticks-met-italiaanse-kruiden/
"Salade met appel, koolrabi en honingvinaigrette","['200 gr. slamelange*', '6 lenteuitjes', '1 koolrabi', '1 appel', '250 gr. cherrytomaatjes', 'croutons', 'citroensap', 'vijgen & pitten mix**', '80 ml. olie', '40 ml. azijn', '2 el. honing', '1 sjalotje', '1 appel', 'citroensap', 'peper en zout']",https://kookidee.nl/recepten/salade/salade-met-appel-koolrabi-en-honingvinaigrette/
"Rode linzensoep met prei, courgette en Ras el Hanout","['200 gr. rode linzen', '400 gr. tomatenblokjes', '1 prei', '1 courgette', '2 uien', '1 teen knoflook', '1 l. groentebouillon', 'peper en zout', 'Ras en Hanout', 'olijfolie', 'verse peterselie']",https://kookidee.nl/recepten/soep/rode-linzensoep-met-prei-courgette-en-ras-el-hanout/
"Aardappel ovenschotel met kippendij, groenten, champignons en kaas","['600 gr. krieltjes, in de schil', '300 gr. kippendijfilet', '1 prei', '1 courgette', '1 rode paprika', '250 gr. champignons', '1 ui', '2 tenen knoflook', '400 gr. tomatenblokjes', '200 gr. belegen kaas, geraspt', 'Italiaanse kruiden', 'grof zeezout', 'peper en zout', 'olijfolie', 'boter om in te vetten']",https://kookidee.nl/recepten/hoofdgerecht/aardappel-ovenschotel-met-kippendij-groenten-champignons-en-kaas/
"Frittata met krieltjes, broccoli en kaas","['500 gr. krieltjes', '1 broccoli', '1 ui', '8 eieren', '250 ml. slagroom', '150 gr. jonge kaas, geraspt', 'verse peterselie', 'grof zeezout', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/frittata-met-krieltjes-broccoli-en-kaas/
"Plukbrood met bacon, cheddar en knoflookboter","['1 ongesneden brood', '150 gr. cheddar, geraspt', '150 gr. bacon', '50 gr. roomboter', '2 tenen knoflook', 'grof zeezout', 'handje verse peterselie']",https://kookidee.nl/recepten/bijgerecht/plukbrood-met-bacon-cheddar-en-knoflookboter/
"Traybake met krieltjes, broccoli, prei, champignons en gehakt","['500 gr. krieltjes, in de schil', '1 broccoli', '1 prei', '1 rode paprika', '2 uien', '250 gr. kastanjechampignons', '200 gr. bospeen', 'grof zeezout', 'olijfolie', '100 gr. belegen kaas, geraspt', '300 gr. rundergehakt', '1 ei', 'paneermeel', '1 sjalotje', 'verse peterselie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/traybake-met-krieltjes-broccoli-prei-champignons-en-gehakt/
Bananenbrood,"['150 gr. bloem', '125 gr. roomboter', '100 gr. rietsuiker', '8 gr. vanillesuiker', '2 tl. bakpoeder', '1/2 tl. baking soda', '1/2 tl. zout', '4 rijpe bananen (ca. 400 gr.)', '3 eieren', 'boter om in te vetten']",https://kookidee.nl/recepten/gebak/bananenbrood/
Rode linzensoep met tomaat en peterselie,"['200 gr. rode linzen', '400 gr. tomatenblokjes', '1 l. groentebouillon', '2 uien', '2 tenen knoflook', '2 tl. kerriepoeder', '2 el. gembersiroop', 'peper en zout', 'handje verse peterselie', 'olijfolie']",https://kookidee.nl/recepten/soep/rode-linzensoep-met-tomaat-en-peterselie/
"Spinaziestamppot uit de oven met spekreepjes, appel en brie","['1 kg. aardappels, kruimig', '500 gr. bladspinazie', '200 gr. spekreepjes', 'ca. 200 gr. brie', '1 appel', 'peper en zout', '30 gr. roomboter + wat extra', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/spinaziestamppot-uit-de-oven-met-spekreepjes-appel-en-brie/
Triple chocolate chip cookies met grof zeezout,"['275 gr. bloem', '175 gr. roomboter', '200 gr. lichte basterdsuiker', '100 gr. fijne kristalsuiker', '1 ei + 1 eidooier', '1/2 tl. baking soda', '1/2 tl. zout', '2 tl. vanille extract', '100 gr. pure chocolade', '100 gr. melkchocolade', '100 gr. witte chocolade', 'grof zeezout']",https://kookidee.nl/recepten/gebak/triple-chocolate-chip-cookies-met-grof-zeezout/
"Quesadilla’s met ontbijtspek, prei, paprika, ui en kaas","['8 wraps', '100 gr. ontbijtspek', '150 gr. belegen kaas, geraspt', '1 rode paprika', '1 prei', '1 ui', 'roomkaas', 'peper en zout']",https://kookidee.nl/recepten/lunchgerecht/quesadillas-met-ontbijtspek-prei-paprika-ui-en-kaas/
"Gebakken kabeljauwfilet met botersaus, zoete parelcouscous, peen en tomaat","['2 penen', '500 gr. cherrytomaatjes', '10 gr. verse bladpeterselie', '20 gr. tuinkers', '335 gr. parelcouscous', '60 gr. rozijnen', '4 kabeljauwfilets, zonder vel', '700 ml. groentebouillon*', '2 el. olijfolie', '40 gr. roomboter', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/gebakken-kabeljauwfilet-met-botersaus-zoete-parelcouscous-peen-en-tomaat/
"Aardappel ovenschotel met broccoli, walnoot en kaas","['1 kg. aardappels', '1 grote broccoli (of 2 kleine)', '150 gr. walnoten', '250 gr. yoghurt', '3 eieren', '200 gr. geraspte kaas, jong belegen', 'peper en zout', 'boter om in te vetten']",https://kookidee.nl/recepten/hoofdgerecht/aardappel-ovenschotel-met-broccoli-walnoot-en-kaas/
"Stokbroodje met pancetta, tomaat en brie","['1 afbakstokbrood', '1 stukje brie', '1 trostomaat', 'paar plakjes pancetta', 'peper', 'mayonaise']",https://kookidee.nl/recepten/lunchgerecht/stokbroodje-met-pancetta-tomaat-en-brie/
"Penne met gegrilde kip, spinazie, kastanjechampignons en kerrie-roomsaus","['300 gr. penne*', '300 gr. kipfilet', '600 gr. bladspinazie', '250 gr. kastanjechampignons', 'olijfolie', 'peper en zout', '30 gr. roomboter', '30 gr. bloem', '200 gr. slagroom', '1 sjalotje', '2 tl. kerrie', 'peper en zout', 'scheutje melk, optioneel']",https://kookidee.nl/recepten/hoofdgerecht/penne-met-gegrilde-kip-spinazie-kastanjechampignons-en-kerrie-roomsaus/
"Ovenschotel met gegrilde groenten, krieltjes, kippendij en mozzarella","['800 gr. krieltjes, in de schil', '300 gr. kippendijfilet', '250 gr. kastanjechampignons', '1 prei', '1 courgette', '1 rode paprika', '1 oranje paprika', '2 rode uien', '2 tenen knoflook', '1 bol mozzarella', 'Italiaanse kruiden', 'peper en zout', 'paprikapoeder', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/ovenschotel-met-gegrilde-groenten-krieltjes-kippendij-en-mozzarella/
Romige aardappelpuree met bieslook,"['1 kg. aardappels, kruimig', '50 gr. roomboter', '125 ml. melk*', 'handje verse bieslook', 'peper en zout']",https://kookidee.nl/recepten/bijgerecht/romige-aardappelpuree-met-bieslook/
"Pasta met roergebakken groenten, champignons, kip pesto en mozzarella","['300 gr. pasta, bv. fusilli', '200 gr. kipfilet', '1 bol buffelmozzarella', '1 prei', '1 courgette', '1 rode paprika', '1 ui', '2 tenen knoflook', '250 gr. kastanjechampignons', 'groene pesto', 'Italiaanse kruiden', 'peper en zout', 'peterselie', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/pasta-met-roergebakken-groenten-champignons-kip-pesto-en-mozzarella/
"Wraps met bonen, champignons, mais, gehakt en Tex Mex kruiden","['8 wraps', '300 gr. rundergehakt', '750 gr. gemengde bonen*', '150 gr. mais', '250 gr. champignons', '100 gr. ijsbergsla, fijngesneden', 'olijfolie', 'Tex Mex kruiden**', 'verse peterselie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/wraps-met-bonen-champignons-mais-gehakt-en-tex-mex-kruiden/
"Noedels met speklapjes, sugarsnaps, groene asperge, prei, paprika en shiitake","['225 gr. rijstnoedels*', '300 gr. speklapjes', '200 gr. groene aspergetips', '200 gr. sugar snaps of peultjes', '100 gr. shiitake', '1 prei', '1 gele paprika', '1 ui', '2 tenen knoflook', 'sojasaus*', '1 tl. sambal oelek', '1 tl. bruine basterdsuiker', 'sesamzaad', 'peper en zout', 'wokolie']",https://kookidee.nl/recepten/hoofdgerecht/noedels-met-speklapjes-sugarsnaps-groene-asperge-prei-paprika-en-shiitake/
"Broodje biefstuk met sla, tomaat, komkommer en kaas","[""4 ciabatta's"", '300 gr. biefstuk', '1/2 komkommer', '1 rode ui', '2 trostomaten', 'belegen kaas', 'ijsbergsla, gesneden', 'peper en zout', 'roomboter, klontje', 'olijfolie', 'cocktailsaus*']",https://kookidee.nl/recepten/lunchgerecht/broodje-biefstuk-met-sla-tomaat-komkommer-en-kaas/
"Fusilli met champignons, prei, rode paprika, courgette, chipolataworstjes en Parmezaan","['300 gr. fusilli of een andere pasta', '5 chipolataworstjes', '250 gr. champignons', '1 prei', '1 courgette', '1 rode paprika', '1 ui', '2 teentjes knoflook', 'verse basilicum', 'Parmezaanse kaas', 'peper en zout', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/fusilli-met-champignons-prei-rode-paprika-courgette-chipolataworstjes-en-parmezaan/
Hutspot met witte bonen en gebakken spekreepjes,"['1 kg. aardappels, kruimig', '2 flinke winterpenen, ca. 800 gr.', '400 gr. witte bonen', '200 gr. spekreepjes', '2 grote uien', '2 blokjes groentebouillon', '2 laurierbladen', 'peper en zout', 'klontje roomboter', 'scheutje melk']",https://kookidee.nl/recepten/hoofdgerecht/hutspot-met-witte-bonen-en-gebakken-spekreepjes/
"Macaroni met groenten, spekjes, champignons, tomatensaus, kaas en mozzarella","['300 gr. macaroni', '600 gr. Italiaanse groenten*', '250 gr. champignons', '400 gr. tomatensaus', '2 tenen knoflook', '200 gr. spekreepjes', '1 bol mozzarella', '150 gr. geraspte kaas, jong belegen', 'verse peterselie', 'olijfolie', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/macaroni-met-groenten-spekjes-champignons-tomatensaus-kaas-en-mozzarella/
Friet met stoofvlees,"['600 gr. runderlappen', '1 flesje donker bier, 33 cl.*', '1 plak ontbijtkoek', '2 grote uien', '1 el. donkere basterdsuiker', '1 el. appelstroop', '2 tl. tomatenpuree', '1 tl. mosterd', '2 laurierbladen', '2 kruidnagels', '3 takjes tijm', '100 gr. roomboter', 'bloem', 'natuurazijn', 'peper en zout', '1 kg. aardappels, kruimig', 'arachideolie', 'grof zeezout', 'mayonaise']",https://kookidee.nl/recepten/hoofdgerecht/friet-met-stoofvlees/
Speculaascake met amandelschaafsel en pepernoten crunch,"['250 gr. roomboter', '250 gr. suiker', '250 gr. bloem', '8 gr. vanillesuiker', '5 eieren', '2 tl. bakpoeder', '1/4 tl. zout', '5 tl. speculaaskruiden*', 'handje amandelschaafsel', 'handje kruidnootjes']",https://kookidee.nl/recepten/gebak/speculaascake-met-amandelschaafsel-en-pepernoten-crunch/
Geroosterde bloemkool met Parmezaan uit de oven en knolselderijpuree,"['1 flinke bloemkool', '1 knolselderij', 'ca. 300 gr. aardappels', 'rozemarijn', 'grof zeezout', 'olijfolie', 'peper en zout', 'Parmezaanse kaas', 'klontje boter', 'scheutje melk', '1 rookworst']",https://kookidee.nl/recepten/hoofdgerecht/geroosterde-bloemkool-met-parmezaan-uit-de-oven-en-knolselderijpuree/
